"module","model","field","field_description","ttype","required","relation"
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard",,"Excel File","char","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard",,"Dowload report Excel","binary","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard",,"Display Name","char","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard",,"Last Updated by","many2one","False","res.users"
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard",,"Last Updated on","datetime","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard",,"ID","integer","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard",,"Created by","many2one","False","res.users"
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard",,"Created on","datetime","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard",,"Last Modified on","datetime","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard",,"Date To","date","True",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard",,"Date from","date","True",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard",,"Sales Rep","many2many","True","crm.sale.rep"
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel",,"ID","integer","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel",,"Excel File","char","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel",,"Last Updated by","many2one","False","res.users"
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel",,"Last Updated on","datetime","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel",,"Dowload report Excel","binary","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel",,"Created on","datetime","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel",,"Last Modified on","datetime","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel",,"Display Name","char","False",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel",,"Created by","many2one","False","res.users"
"tradeline_average_invoice_line_and_average_amount_report_excel","average.invoice.wizard",,"Excel File","char","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","average.invoice.wizard",,"Download report Excel","binary","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","average.invoice.wizard",,"Display Name","char","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","average.invoice.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_average_invoice_line_and_average_amount_report_excel","average.invoice.wizard",,"Last Updated on","datetime","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","average.invoice.wizard",,"ID","integer","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","average.invoice.wizard",,"Created on","datetime","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","average.invoice.wizard",,"Amount","boolean","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","average.invoice.wizard",,"Last Modified on","datetime","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","average.invoice.wizard",,"Date To","date","True",""
"tradeline_average_invoice_line_and_average_amount_report_excel","average.invoice.wizard",,"Date from","date","True",""
"tradeline_average_invoice_line_and_average_amount_report_excel","average.invoice.wizard",,"Created by","many2one","False","res.users"
"tradeline_average_invoice_line_and_average_amount_report_excel","report.excel",,"ID","integer","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","report.excel",,"Excel File","char","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","report.excel",,"Last Updated by","many2one","False","res.users"
"tradeline_average_invoice_line_and_average_amount_report_excel","report.excel",,"Last Updated on","datetime","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","report.excel",,"Dowload report Excel","binary","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","report.excel",,"Created on","datetime","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","report.excel",,"Last Modified on","datetime","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","report.excel",,"Display Name","char","False",""
"tradeline_average_invoice_line_and_average_amount_report_excel","report.excel",,"Created by","many2one","False","res.users"
"tradeline_check_report_invoice_line","selection.invoice.line.wizard",,"Invoice Line","one2many","False","wizard.lines"
"tradeline_check_report_invoice_line","selection.invoice.line.wizard",,"ID","integer","False",""
"tradeline_check_report_invoice_line","selection.invoice.line.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_check_report_invoice_line","selection.invoice.line.wizard",,"Last Updated on","datetime","False",""
"tradeline_check_report_invoice_line","selection.invoice.line.wizard",,"Created on","datetime","False",""
"tradeline_check_report_invoice_line","selection.invoice.line.wizard",,"Last Modified on","datetime","False",""
"tradeline_check_report_invoice_line","selection.invoice.line.wizard",,"Display Name","char","False",""
"tradeline_check_report_invoice_line","selection.invoice.line.wizard",,"Created by","many2one","False","res.users"
"tradeline_check_report_invoice_line","wizard.lines",,"Amount (with Taxes)","float","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"Unit Price","float","True",""
"tradeline_check_report_invoice_line","wizard.lines",,"Product","many2one","False","product.product"
"tradeline_check_report_invoice_line","wizard.lines",,"Description","text","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"Source Document","char","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"Amount (without Taxes)","float","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"Quantity","float","True",""
"tradeline_check_report_invoice_line","wizard.lines",,"Wizard Id","many2one","False","account.invoice"
"tradeline_check_report_invoice_line","wizard.lines",,"Last Updated on","datetime","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"Last Updated by","many2one","False","res.users"
"tradeline_check_report_invoice_line","wizard.lines",,"Select","boolean","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"Unit of Measure","many2one","False","uom.uom"
"tradeline_check_report_invoice_line","wizard.lines",,"Wizard","many2one","False","selection.invoice.line.wizard"
"tradeline_check_report_invoice_line","wizard.lines",,"Analytic Tags","many2many","False","account.analytic.tag"
"tradeline_check_report_invoice_line","wizard.lines",,"Created on","datetime","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"Created by","many2one","False","res.users"
"tradeline_check_report_invoice_line","wizard.lines",,"Last Modified on","datetime","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"Analytic Account","many2one","False","account.analytic.account"
"tradeline_check_report_invoice_line","wizard.lines",,"Account","many2one","False","account.account"
"tradeline_check_report_invoice_line","wizard.lines",,"Description","char","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"ID","integer","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"Taxes","many2many","False","account.tax"
"tradeline_check_report_invoice_line","wizard.lines",,"Item Code","char","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"Discount (%)","float","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"Display Name","char","False",""
"tradeline_check_report_invoice_line","wizard.lines",,"Display Type","selection","False",""
"tradeline_contact_report_excel","contact.wizard",,"Excel File","char","False",""
"tradeline_contact_report_excel","contact.wizard",,"Dowload report Excel","binary","False",""
"tradeline_contact_report_excel","contact.wizard",,"Display Name","char","False",""
"tradeline_contact_report_excel","contact.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_contact_report_excel","contact.wizard",,"Last Updated on","datetime","False",""
"tradeline_contact_report_excel","contact.wizard",,"ID","integer","False",""
"tradeline_contact_report_excel","contact.wizard",,"Created by","many2one","False","res.users"
"tradeline_contact_report_excel","contact.wizard",,"Created on","datetime","False",""
"tradeline_contact_report_excel","contact.wizard",,"Last Modified on","datetime","False",""
"tradeline_contact_report_excel","contact.wizard",,"Date To","date","True",""
"tradeline_contact_report_excel","contact.wizard",,"Date from","date","True",""
"tradeline_contact_report_excel","contact.wizard",,"Created By","many2one","False","res.users"
"tradeline_contact_report_excel","report.excel",,"ID","integer","False",""
"tradeline_contact_report_excel","report.excel",,"Excel File","char","False",""
"tradeline_contact_report_excel","report.excel",,"Last Updated by","many2one","False","res.users"
"tradeline_contact_report_excel","report.excel",,"Last Updated on","datetime","False",""
"tradeline_contact_report_excel","report.excel",,"Dowload report Excel","binary","False",""
"tradeline_contact_report_excel","report.excel",,"Created on","datetime","False",""
"tradeline_contact_report_excel","report.excel",,"Last Modified on","datetime","False",""
"tradeline_contact_report_excel","report.excel",,"Display Name","char","False",""
"tradeline_contact_report_excel","report.excel",,"Created by","many2one","False","res.users"
"tradeline_credit_report_tax","account.credit.report.tax.wizard",,"Excel File","char","False",""
"tradeline_credit_report_tax","account.credit.report.tax.wizard",,"Dowload report Excel","binary","False",""
"tradeline_credit_report_tax","account.credit.report.tax.wizard",,"ID","integer","False",""
"tradeline_credit_report_tax","account.credit.report.tax.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_credit_report_tax","account.credit.report.tax.wizard",,"Last Updated on","datetime","False",""
"tradeline_credit_report_tax","account.credit.report.tax.wizard",,"Display Name","char","False",""
"tradeline_credit_report_tax","account.credit.report.tax.wizard",,"Created on","datetime","False",""
"tradeline_credit_report_tax","account.credit.report.tax.wizard",,"Last Modified on","datetime","False",""
"tradeline_credit_report_tax","account.credit.report.tax.wizard",,"Created by","many2one","False","res.users"
"tradeline_credit_report_tax","account.credit.report.tax.wizard",,"Date To","date","True",""
"tradeline_credit_report_tax","account.credit.report.tax.wizard",,"Date from","date","True",""
"tradeline_credit_report_tax","report.excel",,"ID","integer","False",""
"tradeline_credit_report_tax","report.excel",,"Excel File","char","False",""
"tradeline_credit_report_tax","report.excel",,"Last Updated by","many2one","False","res.users"
"tradeline_credit_report_tax","report.excel",,"Last Updated on","datetime","False",""
"tradeline_credit_report_tax","report.excel",,"Dowload report Excel","binary","False",""
"tradeline_credit_report_tax","report.excel",,"Created on","datetime","False",""
"tradeline_credit_report_tax","report.excel",,"Last Modified on","datetime","False",""
"tradeline_credit_report_tax","report.excel",,"Display Name","char","False",""
"tradeline_credit_report_tax","report.excel",,"Created by","many2one","False","res.users"
"tradeline_credit_report_tax2","account.credit.report.tax2.wizard",,"Excel File","char","False",""
"tradeline_credit_report_tax2","account.credit.report.tax2.wizard",,"Dowload report Excel","binary","False",""
"tradeline_credit_report_tax2","account.credit.report.tax2.wizard",,"ID","integer","False",""
"tradeline_credit_report_tax2","account.credit.report.tax2.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_credit_report_tax2","account.credit.report.tax2.wizard",,"Last Updated on","datetime","False",""
"tradeline_credit_report_tax2","account.credit.report.tax2.wizard",,"Display Name","char","False",""
"tradeline_credit_report_tax2","account.credit.report.tax2.wizard",,"Created on","datetime","False",""
"tradeline_credit_report_tax2","account.credit.report.tax2.wizard",,"Last Modified on","datetime","False",""
"tradeline_credit_report_tax2","account.credit.report.tax2.wizard",,"Created by","many2one","False","res.users"
"tradeline_credit_report_tax2","account.credit.report.tax2.wizard",,"Date To","date","True",""
"tradeline_credit_report_tax2","account.credit.report.tax2.wizard",,"Date from","date","True",""
"tradeline_credit_report_tax2","report.excel",,"ID","integer","False",""
"tradeline_credit_report_tax2","report.excel",,"Excel File","char","False",""
"tradeline_credit_report_tax2","report.excel",,"Last Updated by","many2one","False","res.users"
"tradeline_credit_report_tax2","report.excel",,"Last Updated on","datetime","False",""
"tradeline_credit_report_tax2","report.excel",,"Dowload report Excel","binary","False",""
"tradeline_credit_report_tax2","report.excel",,"Created on","datetime","False",""
"tradeline_credit_report_tax2","report.excel",,"Last Modified on","datetime","False",""
"tradeline_credit_report_tax2","report.excel",,"Display Name","char","False",""
"tradeline_credit_report_tax2","report.excel",,"Created by","many2one","False","res.users"
"tradeline_custom_invoice_report_itemcode","account.invoice.report",,"Item Code","char","False",""
"tradeline_custom_invoice_report_offer","account.invoice.report",,"SMS Sent","boolean","False",""
"tradeline_custom_invoice_report_offer","account.invoice.report",,"TVC Offer","boolean","False",""
"tradeline_extended_warranty_report_excel","report.excel",,"ID","integer","False",""
"tradeline_extended_warranty_report_excel","report.excel",,"Excel File","char","False",""
"tradeline_extended_warranty_report_excel","report.excel",,"Last Updated by","many2one","False","res.users"
"tradeline_extended_warranty_report_excel","report.excel",,"Last Updated on","datetime","False",""
"tradeline_extended_warranty_report_excel","report.excel",,"Dowload report Excel","binary","False",""
"tradeline_extended_warranty_report_excel","report.excel",,"Created on","datetime","False",""
"tradeline_extended_warranty_report_excel","report.excel",,"Last Modified on","datetime","False",""
"tradeline_extended_warranty_report_excel","report.excel",,"Display Name","char","False",""
"tradeline_extended_warranty_report_excel","report.excel",,"Created by","many2one","False","res.users"
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Sub Category","many2one","False","product.sub.category"
"tradeline_extended_warranty_report_excel","warranty.wizard",,"ID","integer","False",""
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Excel File","char","False",""
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Vendor","many2one","False","res.partner"
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Last Updated on","datetime","False",""
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Warranty","many2one","False","product.warranty"
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Download report Excel","binary","False",""
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Created on","datetime","False",""
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Category","many2one","False","product.category"
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Last Modified on","datetime","False",""
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Created by","many2one","False","res.users"
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Display Name","char","False",""
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Date To","date","True",""
"tradeline_extended_warranty_report_excel","warranty.wizard",,"Date from","date","True",""
"tradeline_invoice_accounting_excel","account.invoice.accounting.wizard",,"Excel File","char","False",""
"tradeline_invoice_accounting_excel","account.invoice.accounting.wizard",,"Download report Excel","binary","False",""
"tradeline_invoice_accounting_excel","account.invoice.accounting.wizard",,"ID","integer","False",""
"tradeline_invoice_accounting_excel","account.invoice.accounting.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_invoice_accounting_excel","account.invoice.accounting.wizard",,"Last Updated on","datetime","False",""
"tradeline_invoice_accounting_excel","account.invoice.accounting.wizard",,"Display Name","char","False",""
"tradeline_invoice_accounting_excel","account.invoice.accounting.wizard",,"Created on","datetime","False",""
"tradeline_invoice_accounting_excel","account.invoice.accounting.wizard",,"Last Modified on","datetime","False",""
"tradeline_invoice_accounting_excel","account.invoice.accounting.wizard",,"Created by","many2one","False","res.users"
"tradeline_invoice_accounting_excel","account.invoice.accounting.wizard",,"Date To","date","True",""
"tradeline_invoice_accounting_excel","account.invoice.accounting.wizard",,"Date from","date","True",""
"tradeline_invoice_accounting_excel","report.excel",,"ID","integer","False",""
"tradeline_invoice_accounting_excel","report.excel",,"Excel File","char","False",""
"tradeline_invoice_accounting_excel","report.excel",,"Last Updated by","many2one","False","res.users"
"tradeline_invoice_accounting_excel","report.excel",,"Last Updated on","datetime","False",""
"tradeline_invoice_accounting_excel","report.excel",,"Dowload report Excel","binary","False",""
"tradeline_invoice_accounting_excel","report.excel",,"Created on","datetime","False",""
"tradeline_invoice_accounting_excel","report.excel",,"Last Modified on","datetime","False",""
"tradeline_invoice_accounting_excel","report.excel",,"Display Name","char","False",""
"tradeline_invoice_accounting_excel","report.excel",,"Created by","many2one","False","res.users"
"tradeline_invoice_exel_report","account.invoice.wizard",,"Journal","many2many","False","account.journal"
"tradeline_invoice_exel_report","account.invoice.wizard",,"Invoice Number","char","False",""
"tradeline_invoice_exel_report","account.invoice.wizard",,"Excel File","char","False",""
"tradeline_invoice_exel_report","account.invoice.wizard",,"ID","integer","False",""
"tradeline_invoice_exel_report","account.invoice.wizard",,"Customer","many2one","False","res.partner"
"tradeline_invoice_exel_report","account.invoice.wizard",,"Last Updated on","datetime","False",""
"tradeline_invoice_exel_report","account.invoice.wizard",,"Last Updated by","many2one","False","res.users"
"tradeline_invoice_exel_report","account.invoice.wizard",,"Store","many2one","False","crm.team"
"tradeline_invoice_exel_report","account.invoice.wizard",,"Branch","many2one","False","res.users"
"tradeline_invoice_exel_report","account.invoice.wizard",,"Created on","datetime","False",""
"tradeline_invoice_exel_report","account.invoice.wizard",,"Created by","many2one","False","res.users"
"tradeline_invoice_exel_report","account.invoice.wizard",,"Last Modified on","datetime","False",""
"tradeline_invoice_exel_report","account.invoice.wizard",,"Admin Account Invoice Report","boolean","False",""
"tradeline_invoice_exel_report","account.invoice.wizard",,"Current User","many2one","False","res.users"
"tradeline_invoice_exel_report","account.invoice.wizard",,"Display Name","char","False",""
"tradeline_invoice_exel_report","account.invoice.wizard",,"Dowload report Excel","binary","False",""
"tradeline_invoice_exel_report","account.invoice.wizard",,"Date from","date","False",""
"tradeline_invoice_exel_report","account.invoice.wizard",,"Date To","date","False",""
"tradeline_invoice_exel_report","report.excel",,"ID","integer","False",""
"tradeline_invoice_exel_report","report.excel",,"Excel File","char","False",""
"tradeline_invoice_exel_report","report.excel",,"Last Updated by","many2one","False","res.users"
"tradeline_invoice_exel_report","report.excel",,"Last Updated on","datetime","False",""
"tradeline_invoice_exel_report","report.excel",,"Dowload report Excel","binary","False",""
"tradeline_invoice_exel_report","report.excel",,"Created on","datetime","False",""
